Datetime,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,MACD,MACDs,RSI,trend_long_ok_current,trend_short_ok_current,macd_up_ok_current,macd_down_ok_current,rsi_up_ok_current,rsi_down_ok_current,buy_signal_current,sell_signal_current,signal_current,matches_criteria_current,trend_long_ok_aggressive,trend_short_ok_aggressive,macd_up_ok_aggressive,macd_down_ok_aggressive,rsi_up_ok_aggressive,rsi_down_ok_aggressive,buy_signal_aggressive,sell_signal_aggressive,signal_aggressive,matches_criteria_aggressive,trend_long_ok_conservative,trend_short_ok_conservative,macd_up_ok_conservative,macd_down_ok_conservative,rsi_up_ok_conservative,rsi_down_ok_conservative,volume_ok_conservative,buy_signal_conservative,sell_signal_conservative,signal_conservative,matches_criteria_conservative
2025-06-30 12:00:00-04:00,616.47,616.9,616.465,616.67,1142511,614.8064,614.1941,604.9828,0.7752,0.6702,62.7228,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-30 12:15:00-04:00,616.6701,616.86,616.11,616.2551,1051140,614.9396,614.2954,605.0732,0.7407,0.6843,58.6692,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-30 12:30:00-04:00,616.24,617.105,616.195,616.93,1652620,615.1696,614.403,605.1622,0.7591,0.6992,62.8727,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-30 12:45:00-04:00,617.095,617.13,616.5792,616.64,1189427,615.4146,614.5104,605.245,0.7416,0.7077,60.0468,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-30 13:00:00-04:00,616.71,616.82,616.35,616.49,1556302,615.6796,614.6039,605.3236,0.7076,0.7077,58.5798,False,False,False,True,False,False,False,False,HOLD,False,False,False,False,True,False,False,False,False,HOLD,False,False,False,False,True,False,False,False,False,False,HOLD,False
2025-06-30 13:15:00-04:00,616.48,616.57,616.22,616.515,1824589,615.8894,614.6998,605.4011,0.6748,0.7011,58.7608,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-30 13:30:00-04:00,616.515,616.565,615.94,616.01,2194712,616.0706,614.7879,605.4775,0.6012,0.6811,53.6648,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-30 13:45:00-04:00,616.025,616.64,615.04,615.84,2586640,616.2046,614.8757,605.5546,0.5231,0.6495,52.0292,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-30 14:00:00-04:00,616.11,616.44,615.63,615.97,3223625,616.2606,614.9667,605.6343,0.4663,0.6129,53.2034,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-06-30 14:15:00-04:00,615.96,616.38,615.92,616.045,1439863,616.3409,615.0548,605.7147,0.4225,0.5748,53.9048,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-06-30 14:30:00-04:00,615.93,616.11,615.32,615.71,2204507,616.3069,615.1418,605.7945,0.3566,0.5312,50.2806,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-06-30 14:45:00-04:00,615.71,616.94,615.705,616.93,3149367,616.3317,615.2428,605.8783,0.3983,0.5046,60.656,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-06-30 15:00:00-04:00,616.935,617.45,616.91,617.29,3531967,616.3652,615.3614,605.9672,0.4551,0.4947,63.1028,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-06-30 15:15:00-04:00,617.3,618.25,616.975,617.9,4686042,616.4252,615.4467,606.058,0.5431,0.5044,66.8636,False,False,False,False,False,False,False,False,HOLD,False,False,False,True,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-06-30 15:30:00-04:00,617.9,618.13,617.4,617.82,5795491,616.5208,615.5159,606.1498,0.5994,0.5234,65.9146,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-06-30 15:45:00-04:00,617.82,619.22,617.71,617.9,15619982,616.6153,615.572,606.2421,0.6431,0.5473,66.4277,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-06-30 16:00:00-04:00,617.85,618.18,612.515,617.3396,0,616.684,615.6207,606.3344,0.6254,0.5629,59.6538,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 09:30:00-04:00,616.36,616.91,616.255,616.62,4092395,616.7047,615.6456,606.4212,0.5469,0.5597,52.2816,False,False,False,True,False,False,False,False,HOLD,False,False,False,False,True,False,False,False,False,HOLD,False,False,False,False,True,False,False,True,False,False,HOLD,False
2025-07-01 09:45:00-04:00,616.64,617.74,616.6,617.27,2770454,616.7305,615.6948,606.5099,0.531,0.554,57.4027,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 10:00:00-04:00,617.29,617.8,616.8599,617.69,2783950,616.7917,615.7444,606.6014,0.5461,0.5524,60.3625,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 10:15:00-04:00,617.68,618.065,616.75,617.12,2676359,616.8142,615.78,606.6903,0.5061,0.5431,54.7973,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 10:30:00-04:00,617.1,617.61,616.53,616.64,3108280,616.8335,615.7926,606.7716,0.4308,0.5207,50.5694,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 10:45:00-04:00,616.64,616.74,616.13,616.5011,2295401,616.812,615.8046,606.8679,0.3558,0.4877,49.3818,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,True,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 11:00:00-04:00,616.51,617.245,615.52,615.7319,3514549,616.7666,615.7959,606.9547,0.2316,0.4365,43.3159,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-07-01 11:15:00-04:00,615.73,617.4901,615.57,617.28,2673499,616.8061,615.8152,607.0565,0.2552,0.4002,55.2344,False,False,False,False,True,False,False,False,HOLD,False,False,False,False,False,True,False,False,False,HOLD,False,False,False,False,False,True,False,False,False,False,HOLD,False
2025-07-01 11:30:00-04:00,617.27,617.49,616.08,616.31,1975386,616.7959,615.8219,607.1442,0.1933,0.3588,48.3715,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,True,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 11:45:00-04:00,616.3,617.005,616.21,616.94,1758446,616.8424,615.8413,607.2416,0.1929,0.3257,52.4995,False,False,False,False,True,False,False,False,HOLD,False,False,False,False,False,True,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 12:00:00-04:00,616.96,618.09,616.71,617.975,2207437,616.9491,615.8828,607.342,0.273,0.3151,58.386,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 12:15:00-04:00,617.98,618.1,617.21,617.32,1781739,617.0166,615.9214,607.4319,0.2804,0.3082,53.8389,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 12:30:00-04:00,617.32,617.79,617.105,617.5,1155526,617.0894,615.9753,607.5327,0.2973,0.306,54.8789,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 12:45:00-04:00,617.5,618.135,617.05,617.09,1800849,617.1584,616.034,607.6328,0.2745,0.2997,52.005,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 13:00:00-04:00,617.09,618.04,617.0,617.84,1520456,617.2039,616.119,607.7413,0.3133,0.3024,56.4936,False,False,False,False,False,False,False,False,HOLD,False,False,False,True,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 13:15:00-04:00,617.73,618.21,617.67,618.075,1655231,617.2431,616.2339,607.8552,0.3589,0.3137,57.8245,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 13:30:00-04:00,618.08,618.28,617.76,618.275,954666,617.2619,616.3646,607.9747,0.4065,0.3323,58.9749,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 13:45:00-04:00,618.27,618.83,618.09,618.5681,2020378,617.2993,616.5122,608.092,0.4625,0.3583,60.6675,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 14:00:00-04:00,618.57,618.6993,618.1907,618.33,1783816,617.3208,616.6324,608.2072,0.4821,0.3831,58.5541,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 14:15:00-04:00,618.315,618.47,617.9193,618.01,1608856,617.3543,616.7449,608.3158,0.4665,0.3998,55.7426,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 14:30:00-04:00,618.01,618.51,617.94,618.315,1761010,617.4391,616.848,608.4338,0.4732,0.4145,57.8213,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 14:45:00-04:00,618.315,618.48,617.91,617.96,1501534,617.4736,616.9102,608.5507,0.4448,0.4205,54.6066,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
2025-07-01 15:00:00-04:00,617.95,617.96,616.7,617.49,4190172,617.4636,616.9712,608.6635,0.38,0.4124,50.5955,False,False,False,True,False,False,False,False,HOLD,False,False,False,False,True,False,False,False,False,HOLD,False,False,False,False,True,False,False,True,False,False,HOLD,False
2025-07-01 15:15:00-04:00,617.49,618.37,617.49,618.365,2390435,617.5258,617.0107,608.7791,0.3947,0.4089,56.937,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-07-01 15:30:00-04:00,618.365,618.42,617.58,618.0999,2622614,617.5988,617.044,608.893,0.3805,0.4032,54.6485,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-07-01 15:45:00-04:00,618.11,618.72,617.43,617.56,7690908,617.6517,617.0628,609.0041,0.3221,0.387,50.2208,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,False,False,HOLD,False,False,False,False,False,False,False,True,False,False,HOLD,False
2025-07-01 16:00:00-04:00,617.65,618.1708,617.07,617.1792,0,617.7241,617.0724,609.1222,0.2422,0.358,47.3094,False,False,False,False,False,True,False,False,HOLD,False,False,False,False,False,False,True,False,False,HOLD,False,False,False,False,False,False,False,False,False,False,HOLD,False
